Site,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Fournier,24.0,673.0,0.0,0.0,0.0,33.0,21.0,0.0,35.0,0.0,35.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,58.0,0.0
Hardrock,18.0,76.0,0.0,42.0,0.0,25.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,8.0,0.0
Hidden Springs,3.0,103.0,0.0,0.0,0.0,9.0,0.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0
Jarrett-Lahmer,5.0,217.0,7.0,11.0,0.0,23.0,0.0,0.0,46.0,4.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,15.0,0.0
Joseph Picard,101.0,479.0,0.0,54.0,0.0,75.0,0.0,1.0,133.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,6.0,0.0
Keffer,105.0,4002.0,77.0,54.0,4.0,122.0,5.0,253.0,465.0,107.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,61.0,38.0,1.0,31.0,0.0,9.0,2.0,22.0,2.0,139.0,0.0
Lite,21.0,225.0,2.0,44.0,0.0,15.0,5.0,7.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
O-M-G,4.0,38.0,1.0,2.0,0.0,18.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0
Parsons,7.0,118.0,0.0,0.0,0.0,16.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
Payne,12.0,87.0,0.0,2.0,0.0,38.0,1.0,9.0,14.0,7.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,45.0,1.0,0.0,4.0,0.0,1.0,8.0,0.0
Quackenbush,28.0,87.0,5.0,11.0,0.0,16.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rumney Bay,3.0,10.0,0.0,2.0,0.0,4.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
Spang,3.0,216.0,1.0,1.0,0.0,7.0,0.0,3.0,129.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Waupoos,17.0,58.0,17.0,21.0,1.0,79.0,4.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,29.0,0.0
Buffum,2.0,83.0,2.0,3.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atwell,2.0,11.0,1.0,2.0,0.0,6.0,0.0,2.0,0.0,3.0,8.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0
Barnes,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,12.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belcher,26.0,19.0,2.0,11.0,0.0,21.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cayadutta,5.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,3.0,2.0,6.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cromwell,13.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0
Ganada,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,17.0,19.0,1.0,16.0,2.0,12.0,4.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richmond Mills,38.0,36.0,10.0,17.0,1.0,27.0,5.0,2.0,0.0,1.0,5.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Temperance House,2.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,7.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Wormuth,6.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,16.0,10.0,2.0,6.0,5.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
Hanes,0.0,108.0,2.0,1.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
27VII,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0
Cleary,21.0,36.0,0.0,1.0,0.0,4.0,0.0,0.0,4.0,4.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,0.0,0.0,17.0,0.0
Dawson,3.0,41.0,0.0,1.0,0.0,13.0,2.0,3.0,5.0,1.0,3.0,0.0,0.0,6.0,20.0,38.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,4.0,15.0,0.0,4.0,30.0,15.0
Glenbrook,605.0,401.0,0.0,0.0,0.0,198.0,0.0,4.0,22.0,143.0,576.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,90.0,15.0,24.0,0.0,28.0,7.0,5.0,12.0,384.0,155.0
Mailhot-Curran,18.0,45.0,0.0,6.0,2.0,9.0,3.0,8.0,0.0,3.0,7.0,0.0,0.0,1.0,15.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,17.0,6.0,0.0,90.0,0.0
Maynard-McKeown,14.0,37.0,0.0,6.0,0.0,1.0,7.0,4.0,1.0,17.0,4.0,0.0,2.0,2.0,40.0,148.0,7.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,8.0,71.0,0.0,21.0,1.0
Roebuck,717.0,413.0,0.0,0.0,0.0,286.0,0.0,13.0,1.0,89.0,1747.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,1137.0,83.0
Augoutenc,4.0,28.0,0.0,0.0,0.0,0.0,3.0,0.0,56.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aurora,2.0,96.0,3.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Copeland,72.0,800.0,0.0,3.0,0.0,58.0,1.0,0.0,136.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,83.0,0.0,0.0,1.0,304.0,0.0
Coulter,9.0,241.0,0.0,12.0,0.0,25.0,1.0,4.0,57.0,4.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,2.0,7.0
Emmerson Springs,4.0,119.0,0.0,2.0,1.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
Goodeve,3.0,30.0,0.0,0.0,0.0,4.0,4.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0
Kirche,17.0,632.0,11.0,10.0,0.0,56.0,3.0,7.0,106.0,6.0,3.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,3.0,2.0,1.0,7.0,1.0,1.0,0.0,1.0,4.0,5.0,7.0
Mantle,27.0,1137.0,4.0,22.0,0.0,166.0,5.0,0.0,60.0,14.0,11.0,0.0,1.0,2.0,6.0,3.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,7.0,0.0,71.0,10.0,5.0,16.0
Seed-Barker,7.0,308.0,0.0,0.0,0.0,71.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
White,1.0,50.0,1.0,4.0,0.0,16.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0
Woodbridge,13.0,190.0,0.0,4.0,0.0,42.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,33.0,0.0
